Running in CPU mode	
Epoch 1.27 / 50, i = 97 / 17800, loss = 2.410354	
Epoch 1.28 / 50, i = 98 / 17800, loss = 2.301014	
Epoch 1.28 / 50, i = 99 / 17800, loss = 2.338532	
Epoch 1.28 / 50, i = 100 / 17800, loss = 2.363367	
val_loss = 	2.3750780604102	
Epoch 1.28 / 50, i = 101 / 17800, loss = 2.416595	
Epoch 1.29 / 50, i = 102 / 17800, loss = 2.333807	
Epoch 1.29 / 50, i = 103 / 17800, loss = 2.304865	
Epoch 1.29 / 50, i = 104 / 17800, loss = 2.356839	
Epoch 1.29 / 50, i = 105 / 17800, loss = 2.314153	
Epoch 1.30 / 50, i = 106 / 17800, loss = 2.364772	
Epoch 1.30 / 50, i = 107 / 17800, loss = 2.345689	
Epoch 1.30 / 50, i = 108 / 17800, loss = 2.265716	
Epoch 1.31 / 50, i = 109 / 17800, loss = 2.251156	
Epoch 1.31 / 50, i = 110 / 17800, loss = 2.304564	
Epoch 1.31 / 50, i = 111 / 17800, loss = 2.298033	
Epoch 1.31 / 50, i = 112 / 17800, loss = 2.359557	
Epoch 1.32 / 50, i = 113 / 17800, loss = 2.344684	
Epoch 1.32 / 50, i = 114 / 17800, loss = 2.280532	
Epoch 1.32 / 50, i = 115 / 17800, loss = 2.301040	
Epoch 1.33 / 50, i = 116 / 17800, loss = 2.287820	
Epoch 1.33 / 50, i = 117 / 17800, loss = 2.359448	
Epoch 1.33 / 50, i = 118 / 17800, loss = 2.265459	
Epoch 1.33 / 50, i = 119 / 17800, loss = 2.278484	
Epoch 1.34 / 50, i = 120 / 17800, loss = 2.265950	
Epoch 1.34 / 50, i = 121 / 17800, loss = 2.245195	
Epoch 1.34 / 50, i = 122 / 17800, loss = 2.276484	
Epoch 1.35 / 50, i = 123 / 17800, loss = 2.267361	
Epoch 1.35 / 50, i = 124 / 17800, loss = 2.268472	
Epoch 1.35 / 50, i = 125 / 17800, loss = 2.307432	
Epoch 1.35 / 50, i = 126 / 17800, loss = 2.241466	
Epoch 1.36 / 50, i = 127 / 17800, loss = 2.275166	
Epoch 1.36 / 50, i = 128 / 17800, loss = 2.235436	
