Running in CPU mode	
Epoch 1.27 / 40, i = 97 / 14240, loss = 2.141196	
Epoch 1.28 / 40, i = 98 / 14240, loss = 2.042282	
Epoch 1.28 / 40, i = 99 / 14240, loss = 2.074487	
Epoch 1.28 / 40, i = 100 / 14240, loss = 2.126931	
val_loss = 	2.1703861464154	
Epoch 1.28 / 40, i = 101 / 14240, loss = 2.119802	
Epoch 1.29 / 40, i = 102 / 14240, loss = 2.107630	
Epoch 1.29 / 40, i = 103 / 14240, loss = 2.071569	
Epoch 1.29 / 40, i = 104 / 14240, loss = 2.073954	
Epoch 1.29 / 40, i = 105 / 14240, loss = 2.079752	
Epoch 1.30 / 40, i = 106 / 14240, loss = 2.131854	
Epoch 1.30 / 40, i = 107 / 14240, loss = 2.093621	
Epoch 1.30 / 40, i = 108 / 14240, loss = 2.018208	
Epoch 1.31 / 40, i = 109 / 14240, loss = 2.006553	
Epoch 1.31 / 40, i = 110 / 14240, loss = 2.082958	
Epoch 1.31 / 40, i = 111 / 14240, loss = 2.063418	
Epoch 1.31 / 40, i = 112 / 14240, loss = 2.145406	
Epoch 1.32 / 40, i = 113 / 14240, loss = 2.109640	
Epoch 1.32 / 40, i = 114 / 14240, loss = 2.074024	
Epoch 1.32 / 40, i = 115 / 14240, loss = 2.070982	
Epoch 1.33 / 40, i = 116 / 14240, loss = 2.044661	
Epoch 1.33 / 40, i = 117 / 14240, loss = 2.092229	
Epoch 1.33 / 40, i = 118 / 14240, loss = 2.024064	
Epoch 1.33 / 40, i = 119 / 14240, loss = 2.069222	
Epoch 1.34 / 40, i = 120 / 14240, loss = 2.070306	
Epoch 1.34 / 40, i = 121 / 14240, loss = 2.041813	
Epoch 1.34 / 40, i = 122 / 14240, loss = 2.070721	
Epoch 1.35 / 40, i = 123 / 14240, loss = 2.060036	
Epoch 1.35 / 40, i = 124 / 14240, loss = 1.992643	
Epoch 1.35 / 40, i = 125 / 14240, loss = 2.092728	
Epoch 1.35 / 40, i = 126 / 14240, loss = 2.021466	
Epoch 1.36 / 40, i = 127 / 14240, loss = 2.044566	
Epoch 1.36 / 40, i = 128 / 14240, loss = 2.012115	
Epoch 1.36 / 40, i = 129 / 14240, loss = 2.045188	
Epoch 1.37 / 40, i = 130 / 14240, loss = 2.019252	
Epoch 1.37 / 40, i = 131 / 14240, loss = 2.018549	
Epoch 1.37 / 40, i = 132 / 14240, loss = 2.038720	
Epoch 1.37 / 40, i = 133 / 14240, loss = 2.042735	
Epoch 1.38 / 40, i = 134 / 14240, loss = 2.032610	
Epoch 1.38 / 40, i = 135 / 14240, loss = 2.008664	
Epoch 1.38 / 40, i = 136 / 14240, loss = 2.034072	
