Running in CPU mode	
Epoch 1.27 / 50, i = 97 / 17800, loss = 2.408074	
Epoch 1.28 / 50, i = 98 / 17800, loss = 2.302105	
Epoch 1.28 / 50, i = 99 / 17800, loss = 2.333535	
Epoch 1.28 / 50, i = 100 / 17800, loss = 2.353789	
val_loss = 	2.3841736316681	
Epoch 1.28 / 50, i = 101 / 17800, loss = 2.399346	
Epoch 1.29 / 50, i = 102 / 17800, loss = 2.340131	
Epoch 1.29 / 50, i = 103 / 17800, loss = 2.301770	
Epoch 1.29 / 50, i = 104 / 17800, loss = 2.327688	
Epoch 1.29 / 50, i = 105 / 17800, loss = 2.302798	
Epoch 1.30 / 50, i = 106 / 17800, loss = 2.353937	
Epoch 1.30 / 50, i = 107 / 17800, loss = 2.358183	
Epoch 1.30 / 50, i = 108 / 17800, loss = 2.272030	
Epoch 1.31 / 50, i = 109 / 17800, loss = 2.250472	
Epoch 1.31 / 50, i = 110 / 17800, loss = 2.307438	
Epoch 1.31 / 50, i = 111 / 17800, loss = 2.293980	
Epoch 1.31 / 50, i = 112 / 17800, loss = 2.365035	
Epoch 1.32 / 50, i = 113 / 17800, loss = 2.339746	
Epoch 1.32 / 50, i = 114 / 17800, loss = 2.292606	
Epoch 1.32 / 50, i = 115 / 17800, loss = 2.301671	
Epoch 1.33 / 50, i = 116 / 17800, loss = 2.277004	
Epoch 1.33 / 50, i = 117 / 17800, loss = 2.345691	
Epoch 1.33 / 50, i = 118 / 17800, loss = 2.258786	
Epoch 1.33 / 50, i = 119 / 17800, loss = 2.289608	
Epoch 1.34 / 50, i = 120 / 17800, loss = 2.276850	
Epoch 1.34 / 50, i = 121 / 17800, loss = 2.265417	
Epoch 1.34 / 50, i = 122 / 17800, loss = 2.279050	
Epoch 1.35 / 50, i = 123 / 17800, loss = 2.262203	
Epoch 1.35 / 50, i = 124 / 17800, loss = 2.263091	
Epoch 1.35 / 50, i = 125 / 17800, loss = 2.298723	
